Campus Name,Campus,Campus Type,Campus Type Description
21ST CENTURY EARLY LEARNING FOUNDATIONS ACADEMY,108913118,21,Suburb: Large
3D ACADEMY,108902006,21,Suburb: Large
A & M CONS H S,21901001,12,City: Midsize
A & M CONSOLIDATED MIDDLE,21901042,12,City: Midsize
A B DUNCAN EL,77901101,41,Rural: Fringe
A B MCBAY EL,147903103,33,Town: Remote
A C BLUNT MIDDLE,205901041,31,Town: Fringe
A C JONES H S,13901001,32,Town: Distant
A C JONES HEALTH PROFESSIONS MAGNET ACADEMY,13901004,32,Town: Distant
A E BUTLER INT,116908101,41,Rural: Fringe
A G ELDER EL,126905103,21,Suburb: Large
A LEAL JR MIDDLE,15904042,11,City: Large
A M OCHOA EL,108902104,21,Suburb: Large
A M PATE EL,220905153,11,City: Large
A N RICO EL,108913113,21,Suburb: Large
A P BEUTEL EL,20905102,23,Suburb: Small
A P SOLIS MIDDLE,108902045,21,Suburb: Large
A V CATO EL,220917101,11,City: Large
A+ ACADEMY EL,57829001,11,City: Large
A+ SECONDARY SCHOOL,57829002,11,City: Large
A+ UNLIMITED POTENTIAL - MUSEUM DISTRICT,101871041,11,City: Large
A+ UNLIMITED POTENTIAL - UNIVERSITY,101871102,11,City: Large
AARON PARKER EL,139911102,42,Rural: Distant
AB HARRISON INT,43914042,21,Suburb: Large
ABBETT EL,57909143,21,Suburb: Large
ABBOTT SCHOOL,109901001,42,Rural: Distant
ABELL J H,165901047,12,City: Midsize
ABERNATHY DAEP,95901003,33,Town: Remote
ABERNATHY EL,95901101,31,Town: Fringe
ABERNATHY H S,95901001,31,Town: Fringe
ABERNATHY MIDDLE,95901041,31,Town: Fringe
ABILENE H S,221901001,12,City: Midsize
ABOUT FACE PROGRAM EL,71902171,11,City: Large
ABRAHAM KAZEN MIDDLE,15908046,11,City: Large
ACADEMY AT CARRIE F THOMAS,220902116,21,Suburb: Large
ACADEMY AT NOLA DUNN,126902101,21,Suburb: Large
ACADEMY EL,14901102,41,Rural: Fringe
ACADEMY FOR TECHNOLOGY ENGINEERING MATH & SCIENCE,221901010,12,City: Midsize
ACADEMY H S,14901001,41,Rural: Fringe
ACADEMY INT,14901101,41,Rural: Fringe
ACADEMY J H,14901041,41,Rural: Fringe
ACADEMY OF ACCELERATED LEARNING,101810002,11,City: Large
ACADEMY OF CHOICE,101920016,21,Suburb: Large
ACADEMY OF CREATIVE ED,15910008,11,City: Large
ACADEMY OF DALLAS,57810101,11,City: Large
ACCELERATED INTERDISCIPLINARY ACAD,101849101,11,City: Large
ACHIEVE ACADEMY,43914004,21,Suburb: Large
ACHIEVE EARLY COLLEGE H S,108906011,12,City: Midsize
ACHZIGER EL,57914132,41,Rural: Fringe
ACTON EL,111901102,32,Town: Distant
ACTON MIDDLE,111901042,41,Rural: Fringe
AD WHEAT MIDDLE,126903107,41,Rural: Fringe
ADA MAE FAUBION EL,246913102,21,Suburb: Large
ADAM EL,101907107,21,Suburb: Large
ADAMS EL,220901161,11,City: Large
ADAMS EL,126903101,41,Rural: Fringe
ADAMS HILL EL,15915123,11,City: Large
ADAMS J H,101914056,41,Rural: Fringe
ADAMS MIDDLE,125901043,32,Town: Distant
ADELFA BOTELLO CALLEJO EL,57905247,11,City: Large
ADELLE TURNER EL,57905219,11,City: Large
ADKINS MIDDLE,178904057,11,City: Large
ADMIN SERVICES,101903199,11,City: Large
ADRIAN SCHOOL,180903001,43,Rural: Remote
ADULT ED,31901035,12,City: Midsize
ADULT LEARNING CTR,221901004,12,City: Midsize
ADULT TRANSITION CENTER,43910190,11,City: Large
ADULT TRANSITION SERVICES,227909005,11,City: Large
ADULT/COMMUNITY LRN CTR,71905013,11,City: Large
ADVANCED LEARNING ACADEMY,15907026,11,City: Large
ADVANTAGE ACADEMY,57806101,21,Suburb: Large
ADVENTHEALTH SCHOOL,14906022,12,City: Midsize
AGNES COTTON ACADEMY,15907117,11,City: Large
AGNEW MIDDLE,57914041,21,Suburb: Large
AGUA DULCE EL,178901101,42,Rural: Distant
AGUA DULCE H S,178901001,42,Rural: Distant
AGUIRRE J H,101905043,21,Suburb: Large
AIA LANCASTER EL,101849105,41,Rural: Fringe
AIDA C ESCOBAR EL,108909113,21,Suburb: Large
AIKEN EL,31901133,12,City: Midsize
AIKIN EL,57916135,11,City: Large
AIKIN EL,139909109,33,Town: Remote
AIKMAN EL,59901101,32,Town: Distant
AIM CENTER H S,181907002,22,Suburb: Midsize
AIM COLLEGE & CAREER PREP,84902007,31,Town: Fringe
AIRPORT EL,108913110,21,Suburb: Large
AKIN EL,95903102,42,Rural: Distant
AKINS H S,227901017,11,City: Large
ALAMO EL,101911101,13,City: Small
ALAMO HEIGHTS H S,15901001,21,Suburb: Large
ALAMO HEIGHTS J H,15901041,11,City: Large
ALAMO J H,165901041,12,City: Midsize
ALAMO MIDDLE,108909042,21,Suburb: Large
ALAN B SHEPARD MIDDLE,15908042,11,City: Large
ALBA-GOLDEN EL,250906101,42,Rural: Distant
ALBA-GOLDEN H S,250906001,42,Rural: Distant
ALBANY JR-SR H S,209901001,43,Rural: Remote
ALBERT & IOLA LEE DAVIS MALVERN EL,43907118,22,Suburb: Midsize
ALBERT C WILLIAMS EL,116903104,41,Rural: Fringe
ALBERTO AND CELIA BARRERA EL,214901104,32,Town: Distant
ALBRIGHT MIDDLE,101903045,21,Suburb: Large
ALCOTT EL,101912102,11,City: Large
ALDERSON EL,152901194,11,City: Large
ALDINE EDUCATION CENTER,101902090,21,Suburb: Large
ALDINE H S,101902001,11,City: Large
ALDINE J J A E P,101902099,11,City: Large
ALDINE MIDDLE,101902041,21,Suburb: Large
ALDRIDGE EL,43910106,12,City: Midsize
ALEDO H S,184907001,41,Rural: Fringe
ALEDO MIDDLE,184907041,31,Town: Fringe
ALEX SANGER PREPARATORY SCHOOL,57905206,11,City: Large
ALEX W SPENCE TALENTED/GIFTED ACADEMY,57905058,11,City: Large
ALEXANDER EL,101903114,11,City: Large
ALEXANDER MIDDLE,20908115,21,Suburb: Large
ALFONSO BORREGO SR EL,71904104,21,Suburb: Large
ALFONSO RAMIREZ EL,108904129,13,City: Small
ALFRED SORENSEN EL,108909112,21,Suburb: Large
ALICE CARLSON APPLIED LRN CTR,220905101,11,City: Large
ALICE D CONTRERAS,220905220,11,City: Large
ALICE H S,125901001,32,Town: Distant
ALICE JOHNSON J H,101905041,21,Suburb: Large
ALICE MOORE ALEXANDER,61901104,12,City: Midsize
ALICE PONDER EL,220908101,21,Suburb: Large
ALICE W DOUSE EL,14906140,41,Rural: Fringe
ALICIA R CHACON,71905138,11,City: Large
ALIEF EARLY COLLEGE H S,101903012,11,City: Large
ALIEF ISD J J A E P,101903047,11,City: Large
ALIEF LEARNING CTR (6-12),101903005,11,City: Large
ALIEF LEARNING CTR (K-6),101903205,11,City: Large
ALIEF MIDDLE,101903041,11,City: Large
ALIEF MONTESSORI COMMUNITY SCHOOL,101815101,11,City: Large
ALKEK EL,10902101,42,Rural: Distant
ALLAN K & CAROLYN H BIRD EDUCATION CENTER,43910196,11,City: Large
ALLEN & WILLIAM ARNOLD EL,108909130,21,Suburb: Large
ALLEN EL,178904101,11,City: Large
ALLEN EL,15915106,11,City: Large
ALLEN EL,43905129,21,Suburb: Large
ALLEN H S,43901001,21,Suburb: Large
ALLIENE MULLENDORE EL,220902105,21,Suburb: Large
ALLISON EL,227901101,11,City: Large
ALLISON L STEELE E L C,94902002,21,Suburb: Large
ALMA BREWER STRAWN EL,28902106,42,Rural: Distant
ALMA MARTINEZ INT,220908208,41,Rural: Fringe
ALMEDA EL,101912104,11,City: Large
ALOE EL,235902101,41,Rural: Fringe
ALONSO S PERALES EL,15905106,11,City: Large
ALPHA,170906012,31,Town: Fringe
ALPINE EL,22901101,33,Town: Remote
ALPINE H S,22901001,33,Town: Remote
ALPINE MIDDLE,22901041,33,Town: Remote
ALTA LOMA EL,226903101,12,City: Midsize
ALTA VISTA EL,161914101,12,City: Midsize
ALTER DISCIPLINE CAMPUS,220918003,11,City: Large
ALTER ED CTR,68901004,41,Rural: Fringe
ALTER ED PROG,220916004,21,Suburb: Large
ALTER H S,15910012,11,City: Large
ALTER IMPACT CTR,105906002,41,Rural: Fringe
ALTER LEARNING CTR,126906002,31,Town: Fringe
ALTER MIDDLE,15910053,11,City: Large
ALTER SCH,123908002,22,Suburb: Midsize
ALTER SCH,86901002,33,Town: Remote
ALTER SCHOOL,250906002,42,Rural: Distant
ALTERNATIVE CENTER,15905042,11,City: Large
ALTERNATIVE EDUCATION PROGRAM,170906011,31,Town: Fringe
ALTERNATIVE EDUCATION SCHOOL,123905002,22,Suburb: Midsize
ALTERNATIVE EL,15910160,11,City: Large
ALTERNATIVE EL,15915172,11,City: Large
ALTERNATIVE H S,15915008,11,City: Large
ALTERNATIVE LEARNING CENTER,227901012,11,City: Large
ALTERNATIVE LEARNING CENTER,79901004,21,Suburb: Large
ALTERNATIVE LEARNING CTR - WEST,101907014,21,Suburb: Large
ALTERNATIVE LEARNING CTR-EAST,101907006,21,Suburb: Large
ALTERNATIVE MIDDLE,15915062,11,City: Large
ALTERNATIVE SCHOOL,36902005,41,Rural: Fringe
ALTERNATIVE SCHOOL,247906002,41,Rural: Fringe
ALTO BONITO EL,214901110,41,Rural: Fringe
ALTO EL,37901101,42,Rural: Distant
ALTO H S,37901001,42,Rural: Distant
ALTO MIDDLE,37901041,42,Rural: Distant
ALTON BOWEN EL,21902117,13,City: Small
ALTON BOYD EL,43901102,21,Suburb: Large
ALTON EL,239901101,32,Town: Distant
ALTON EL,108908107,21,Suburb: Large
ALTON MEMORIAL J H,108908043,21,Suburb: Large
ALVARADO EL-NORTH,126901102,41,Rural: Fringe
ALVARADO EL-SOUTH,126901101,41,Rural: Fringe
ALVARADO H S,126901001,31,Town: Fringe
ALVARADO INT,126901104,41,Rural: Fringe
ALVARADO J H,126901041,41,Rural: Fringe
ALVAREZ EL,108906101,12,City: Midsize
ALVIN EL,20901101,21,Suburb: Large
ALVIN H S,20901001,21,Suburb: Large
ALVIN J H,20901041,21,Suburb: Large
ALVIN V ANDERSON RISE ACADEMY,212905010,12,City: Midsize
ALVIS C STORY EL,43901105,21,Suburb: Large
ALVORD EL,249901101,42,Rural: Distant
ALVORD H S,249901001,42,Rural: Distant
ALVORD MIDDLE,249901041,42,Rural: Distant
AMADOR R RODRIGUEZ JUVENILE BOOT CAMP,31912005,13,City: Small
AMANDA GARZA-PENA EL,108909118,21,Suburb: Large
AMANDA ROCHELL EL,199901103,21,Suburb: Large
AMARILLO AREA CTR FOR ADVANCED LRN,188901003,12,City: Midsize
AMARILLO COLLEGIATE ACADEMY,221801011,12,City: Midsize
AMARILLO H S,188901001,12,City: Midsize
AMBASSADORS PREPARATORY ACADEMY,84804101,31,Town: Fringe
AMBER TERRACE DISCOVERY & DESIGN EARLY CHILDHOOD,57906110,21,Suburb: Large
AMELIA EL,123910101,12,City: Midsize
AMERICAS H S,71909004,11,City: Large
AMHERST SCHOOL,140901001,42,Rural: Distant
AMI KIDS RIO GRANDE VALLEY (FKA RGMI),31906003,42,Rural: Distant
AMIGOS POR VIDA-FRIENDS FOR LIFE CHARTER SCHOOL,101819001,11,City: Large
AMOS EL,220901124,11,City: Large
AMPARO GUTIERREZ EL,240903114,11,City: Large
AMY PARKS-HEATH EL,199901106,21,Suburb: Large
ANAHUAC EL,36901101,42,Rural: Distant
ANAHUAC H S,36901001,42,Rural: Distant
ANAHUAC MIDDLE,36901041,42,Rural: Distant
ANDERSON ACADEMY,101902101,11,City: Large
ANDERSON ACCELERATED H S,114901003,32,Town: Distant
ANDERSON EL,220901160,11,City: Large
ANDERSON EL,170902101,13,City: Small
ANDERSON EL,3903120,33,Town: Remote
ANDERSON EL,43905105,11,City: Large
ANDERSON EL,101912105,11,City: Large
ANDERSON EL,101919109,21,Suburb: Large
ANDERSON H S,227901009,11,City: Large
ANDERSON MILL EL,246909109,11,City: Large
ANDERSON-SHIRO EL,93901101,42,Rural: Distant
ANDERSON-SHIRO JR/SR H S,93901001,42,Rural: Distant
ANDRE EL,101907146,21,Suburb: Large
ANDRESS H S,71902001,11,City: Large
ANDREW JACKSON MIDDLE,57910045,21,Suburb: Large
ANDREWS EDUCATION CENTER,2901002,32,Town: Distant
ANDREWS EL,227901102,11,City: Large
ANDREWS EL,43910140,11,City: Large
ANDREWS EL,205902104,41,Rural: Fringe
ANDREWS H S,2901001,32,Town: Distant
ANDREWS MIDDLE,2901041,32,Town: Distant
ANDY DEKANEY H S,101919003,21,Suburb: Large
ANGELA GERUSA LEAL EL,31912117,22,Suburb: Midsize
ANGLETON H S,20902001,41,Rural: Fringe
ANGLETON J H SCHOOL,20902044,23,Suburb: Small
ANITA SCOTT EL,199902104,21,Suburb: Large
ANN BROCK EL AT OAK GROVE,126902110,11,City: Large
ANN M GARCIA-ENRIQUEZ MIDDLE,71904041,21,Suburb: Large
ANN RICHARDS MIDDLE,108912045,21,Suburb: Large
ANN RICHARDS STEAM ACADEMY,57905353,11,City: Large
ANN WHITNEY EL,97902102,33,Town: Remote
ANNA EDUCATION CENTER,43902106,31,Town: Fringe
ANNA H S,43902001,41,Rural: Fringe
ANNA ISD DAEP,43902005,31,Town: Fringe
ANNA MAY DAULTON EL,220908120,21,Suburb: Large
ANNA MIDDLE,43902041,31,Town: Fringe
ANNE FRANK EL,57905280,11,City: Large
ANNE FRANK INSPIRE ACADEMY,15808009,11,City: Large
ANNE L MAGEE EL,108904126,41,Rural: Fringe
ANNE MCCORMICK SULLIVAN EL,79907152,41,Rural: Fringe
ANNETTE PERRY EL,220908124,21,Suburb: Large
ANNIE PURL EL,246904101,13,City: Small
ANNIE SIMS EL,225902102,33,Town: Remote
ANNIE WEBB BLANTON EL,57905110,11,City: Large
ANNUNCIATION MATERNITY HOME,227806017,41,Rural: Fringe
ANSON EL,127901101,42,Rural: Distant
ANSON H S,127901001,42,Rural: Distant
ANSON JONES EL,57905164,11,City: Large
ANSON JONES EL,21902115,13,City: Small
ANSON MIDDLE,127901041,42,Rural: Distant
ANTHON EL,232903104,33,Town: Remote
ANTHONY EL,71906101,21,Suburb: Large
ANTHONY H S,71906001,21,Suburb: Large
ANTHONY MIDDLE,71906041,21,Suburb: Large
ANTHONY MIDDLE,101907058,41,Rural: Fringe
ANTON SCHOOL,110901001,42,Rural: Distant
ANTONIO GONZALEZ MIDDLE,240903053,11,City: Large
AOY EL,71902103,11,City: Large
APOLLO J H,57916050,12,City: Midsize
APPLE SPRINGS EL,228905101,42,Rural: Distant
APPLE SPRINGS H S,228905001,42,Rural: Distant
APPLIED LEARNING ACAD,220905055,11,City: Large
AQUERO MIDDLE,240903056,11,City: Large
AQUILLA SCHOOL,109912001,42,Rural: Distant
ARABIC IMMERSION MAGNET SCHOOL,101912478,11,City: Large
ARAGON MIDDLE,101907051,21,Suburb: Large
ARANSAS PASS H S,205901001,31,Town: Fringe
ARANSAS PASS JJAEP,205901002,31,Town: Fringe
ARAPAHO CLASSICAL MAGNET,57916101,12,City: Midsize
ARBOR CREEK MIDDLE,61902047,21,Suburb: Large
ARCADIA PARK EL,57905105,11,City: Large
ARCHER CITY EL,5901101,42,Rural: Distant
ARCHER CITY H S,5901001,42,Rural: Distant
ARDEN ROAD EL,191901106,12,City: Midsize
ARGYLE H S,61910001,41,Rural: Fringe
ARGYLE INT,61910042,41,Rural: Fringe
ARGYLE MIDDLE,61910041,41,Rural: Fringe
ARGYLE WEST,61910103,41,Rural: Fringe
ARISTOI CLASSICAL ACADEMY,101803041,21,Suburb: Large
ARISTOI CLASSICAL UPPER SCHOOL,101803001,21,Suburb: Large
ARIZONA FLEMING EL,79907133,21,Suburb: Large
ARLINGTON CLASSICS ACADEMY - ARKANSAS CAMPUS,220802101,21,Suburb: Large
ARLINGTON CLASSICS ACADEMY - MIDDLE,220802040,11,City: Large
ARLINGTON CLASSICS ACADEMY -INTERMEDIATE,220802102,21,Suburb: Large
ARLINGTON COLLEGE AND CAREER H S,220901014,11,City: Large
ARLINGTON COLLEGIATE H S,220901011,11,City: Large
ARLINGTON H S,220901001,11,City: Large
ARLINGTON HEIGHTS H S,220905002,11,City: Large
ARLINGTON PARK EARLY CHILDHOOD CENTER,57905300,11,City: Large
ARLON R SEAY EL,46902110,41,Rural: Fringe
ARLYNE & ALAN WEBER EL,84910125,21,Suburb: Large
ARMAND BAYOU EL,84910111,11,City: Large
ARMANDO CERNA EL,159901121,41,Rural: Fringe
ARMANDO CHAPA MIDDLE,105906045,41,Rural: Fringe
ARMANDO CUELLAR MIDDLE,108913042,21,Suburb: Large
ARMENDARIZ MIDDLE,71902054,11,City: Large
ARMSTRONG EL,170902107,13,City: Small
ARMSTRONG EL,57911101,21,Suburb: Large
ARMSTRONG MIDDLE,43910045,11,City: Large
ARNOLD EL,15907101,11,City: Large
ARNOLD MIDDLE,101907041,21,Suburb: Large
ARNOLDO CANTU SR EL,108909120,21,Suburb: Large
ARP EL,212901101,42,Rural: Distant
ARP H S,212901001,42,Rural: Distant
ARP J H,212901041,42,Rural: Distant
ARROW ACADEMY - CHAMPIONS ACADEMY,21805105,11,City: Large
ARROW ACADEMY - HARVEST PREPARATORY ACADEMY,21805102,11,City: Large
ARROW ACADEMY - LIBERATION ACADEMY,21805101,21,Suburb: Large
ARROW ACADEMY - SAVE OUR STREETS CENTER,21805041,13,City: Small
ART AND PAT GOFORTH EL,84910122,21,Suburb: Large
ARTHUR H MCNEIL EL,43907117,22,Suburb: Midsize
ARTHUR KRAMER EL,57905169,11,City: Large
ARTHUR L DAVILA MIDDLE,21902047,41,Rural: Fringe
ARTHUR MILLER CAREER CENTER,101914004,21,Suburb: Large
ARTIE L HENRY MIDDLE,246913044,21,Suburb: Large
ARTURO SALAZAR EL,57905239,11,City: Large
ASA E LOW JR INT,220908207,21,Suburb: Large
ASCARATE EL,71905101,11,City: Large
ASCHER SILBERSTEIN EL,57905209,11,City: Large
ASHBEL SMITH EL,101911113,13,City: Small
ASHFORD EL,101912273,11,City: Large
ASHLEY EL,43905119,41,Rural: Fringe
ASHWORTH EL,220901149,11,City: Large
ASKEW EL,101912274,11,City: Large
ASPERMONT EL,217901101,43,Rural: Remote
ASPERMONT H S,217901001,43,Rural: Remote
ASSESSMENT CTR,220905251,11,City: Large
ASSETS,20901005,41,Rural: Fringe
ATASCOCITA H S,101913008,41,Rural: Fringe
ATASCOCITA MIDDLE,101913044,11,City: Large
ATASCOCITA SPRINGS EL,101913126,41,Rural: Fringe
ATASCOSA CO ALTER,7905004,32,Town: Distant
ATASCOSA COUNTY JJAEP,149901003,32,Town: Distant
ATASCOSA COUNTY JUVENILE JUSTICE CENTER,7902005,32,Town: Distant
ATASCOSA JUVENILE DETENTION CTR,82903003,32,Town: Distant
ATHENS EL,15908115,11,City: Large
ATHENS H S,107901001,32,Town: Distant
ATHENS MIDDLE,107901041,32,Town: Distant
ATHERTON EL,220901132,11,City: Large
ATHERTON EL,101912106,11,City: Large
ATKINS MIDDLE,152901061,11,City: Large
ATKINSON EL,101917124,11,City: Large
ATLANTA EL,34901106,41,Rural: Fringe
ATLANTA H S,34901001,32,Town: Distant
ATLANTA MIDDLE,34901042,32,Town: Distant
ATLANTA PRI,34901107,41,Rural: Fringe
ATTUCKS MIDDLE,101912041,11,City: Large
ATWOOD MCDONALD EL,220905188,11,City: Large
AUBREY H S,61907001,41,Rural: Fringe
AUBREY MIDDLE,61907041,41,Rural: Fringe
AUDELIA CREEK EL,57916144,11,City: Large
AUDIE MURPHY MIDDLE,108909048,21,Suburb: Large
AUDIE MURPHY MIDDLE,14906052,22,Suburb: Midsize
AUDRE AND BERNARD RAPOPORT ACADEMY,161802101,12,City: Midsize
AUE EL,15915178,21,Suburb: Large
AUGUSTO GUERRA EL,108909126,21,Suburb: Large
AULT EL,101907133,21,Suburb: Large
AUSTIN ACAD FOR EXCELL,57909041,21,Suburb: Large
AUSTIN ACHIEVE EL,227825003,11,City: Large
AUSTIN ACHIEVE H S,227825004,11,City: Large
AUSTIN ACHIEVE MIDDLE,227825001,11,City: Large
AUSTIN DISCOVERY SCH,227821101,11,City: Large
AUSTIN EL,221901102,12,City: Midsize
AUSTIN EL,146902101,32,Town: Distant
AUSTIN EL,170902102,41,Rural: Fringe
AUSTIN EL,57922103,21,Suburb: Large
AUSTIN EL,70903101,32,Town: Distant
AUSTIN EL,226903102,12,City: Midsize
AUSTIN EL,90904101,33,Town: Remote
AUSTIN EL,195901106,33,Town: Remote
AUSTIN EL,96904101,43,Rural: Remote
AUSTIN EL,57914125,21,Suburb: Large
AUSTIN EL,205902101,41,Rural: Fringe
AUSTIN EL,31903102,13,City: Small
AUSTIN EL,184903106,31,Town: Fringe
AUSTIN ELEM,108904101,13,City: Small
AUSTIN H S,227901002,11,City: Large
AUSTIN H S,71902002,11,City: Large
AUSTIN H S,101912001,11,City: Large
AUSTIN ISD CHILD DEVELOPMENT CENTER,227901194,11,City: Large
AUSTIN MIDDLE,188901041,12,City: Midsize
AUSTIN MIDDLE,108909041,21,Suburb: Large
AUSTIN MIDDLE,57912045,12,City: Midsize
AUSTIN MIDDLE,84902041,31,Town: Fringe
AUSTIN MONTESSORI MAGNET,68901102,12,City: Midsize
AUSTIN OAKS,227806040,11,City: Large
AUSTIN PARKWAY EL,79907126,12,City: Midsize
AUSTIN ST HOSPITAL,227901250,11,City: Large
AUSTWELL-TIVOLI EL,196901102,42,Rural: Distant
AUSTWELL-TIVOLI H S,196901001,42,Rural: Distant
AVALON SCHOOL,70901001,42,Rural: Distant
AVALOS P-TECH SCHOOL,101902015,21,Suburb: Large
AVERY EL,194902101,43,Rural: Remote
AVERY SECONDARY,194902001,43,Rural: Remote
AVINGER SCHOOL,34902001,42,Rural: Distant
AVONDALE EL,188901101,12,City: Midsize
AXTELL EL,161918101,42,Rural: Distant
AXTELL H S,161918001,42,Rural: Distant
AXTELL MIDDLE SCHOOL,161918041,42,Rural: Distant
AXTELL/BE DAEP,161919005,42,Rural: Distant
AXTELL/BRUCEVILLE-EDDY LEARNING CENTER,161919002,42,Rural: Distant
AZLE EL,220915104,21,Suburb: Large
AZLE H S,220915001,21,Suburb: Large
AZLE HORNET ACADEMY,220915003,21,Suburb: Large
AZLE J H SOUTH,220915041,21,Suburb: Large
AZLEWAY - BIG SANDY,46802010,42,Rural: Distant
AZLEWAY - CHAPEL HILL,46802009,41,Rural: Fringe
AZLEWAY - WILLOW BEND,46802011,12,City: Midsize
B B OWEN EL,61902115,21,Suburb: Large
B F TERRY H S,79901002,21,Suburb: Large
B G HUDSON MIDDLE,57909052,21,Suburb: Large
B H HAMBLEN EL,101905042,21,Suburb: Large
B H MACON EL,57905180,11,City: Large
B L GARZA MIDDLE,108904043,13,City: Small
B L GRAY J H,108911041,13,City: Small
B MCDANIEL INT,91903045,13,City: Small
B T WILSON SIXTH GRADE SCHOOL,133903104,33,Town: Remote
BACK EL,57909140,21,Suburb: Large
BAGDAD EL,246913109,21,Suburb: Large
BAILEY EL,101917101,21,Suburb: Large
BAILEY INGLISH EARLY CHILDHOOD CENTER,74903103,32,Town: Distant
BAILEY INT,139911104,41,Rural: Fringe
BAILEY J H,220901045,11,City: Large
BAILEY MIDDLE,227901059,21,Suburb: Large
BAIRD EL,30903101,42,Rural: Distant
BAIRD H S,30903001,42,Rural: Distant
BAIRD MIDDLE,30903041,42,Rural: Distant
BAKER EL,106901101,33,Town: Remote
BAKER MIDDLE,178904041,11,City: Large
BAKER-KOONCE INT,183902101,32,Town: Distant
BAKER-RIPLEY CHARTER SCHOOL,101853106,11,City: Large
BALDWIN EL,227901187,11,City: Large
BALL EARLY CHILDHOOD CENTER,94901101,31,Town: Fringe
BALL H S,84902001,31,Town: Fringe
BALLINGER EL,200901101,32,Town: Distant
BALLINGER H S,200901001,41,Rural: Fringe
BALLINGER J H,200901041,41,Rural: Fringe
BALMORHEA SCHOOL,195902001,43,Rural: Remote
BAMMEL EL,101919102,21,Suburb: Large
BAMMEL MIDDLE,101919046,21,Suburb: Large
BANDERA H S,10902001,42,Rural: Distant
BANDERA MIDDLE,10902041,42,Rural: Distant
BANE EL,101907101,11,City: Large
BANG EL,101907125,21,Suburb: Large
BANGS H S,25901001,42,Rural: Distant
BANGS MIDDLE,25901041,42,Rural: Distant
BANQUETE EL,178913101,42,Rural: Distant
BANQUETE H S,178913001,42,Rural: Distant
BANQUETE J H,178913041,42,Rural: Distant
BANUELOS EL,101911125,13,City: Small
BARACK OBAMA MALE LEADERSHIP ACAD AT A MACEO SMITH,57905381,11,City: Large
BARANOFF EL,227901182,11,City: Large
BARBARA BUSH PRI,112901102,33,Town: Remote
BARBARA CARDWELL CAREER PREPARATORY CENTER,57912005,12,City: Midsize
BARBARA COCKRELL EL,20908113,21,Suburb: Large
BARBARA CULVER JUVENILE DETENTION CENTER,165901020,12,City: Midsize
BARBARA FASKEN EL,165901133,41,Rural: Fringe
BARBARA FASKEN EL,240903131,11,City: Large
BARBARA JORDAN EL,57905133,11,City: Large
BARBARA JORDAN EL,68901129,41,Rural: Fringe
BARBARA JORDAN EL,79907141,21,Suburb: Large
BARBARA JORDAN INT,94902109,21,Suburb: Large
BARBARA M MANNS H S DAEP,57905029,11,City: Large
BARBARA M MANNS MIDDLE DAEP,57905011,11,City: Large
BARBARA WALKER EL,129901103,31,Town: Fringe
BARBARA YARBROUGH EL,165901132,41,Rural: Fringe
BARBERS HILL EL NORTH,36902104,41,Rural: Fringe
BARBERS HILL EL SOUTH,36902105,41,Rural: Fringe
BARBERS HILL H S,36902001,41,Rural: Fringe
BARBERS HILL MIDDLE NORTH,36902042,41,Rural: Fringe
BARBERS HILL MIDDLE SOUTH,36902043,41,Rural: Fringe
BARKSDALE EL,43910132,11,City: Large
BARNES EL,178904152,11,City: Large
BARNETT J H,220901052,11,City: Large
BARRETT EL,101906103,41,Rural: Fringe
BARRICK EL,101912107,11,City: Large
BARRINGTON EL,227901149,11,City: Large
BARRINGTON PLACE EL,79907127,12,City: Midsize
BARRON EL,71902165,11,City: Large
BARRON EL,43910149,11,City: Large
BARROW EL,20907107,31,Town: Fringe
BARTLETT SCHOOLS,14902001,32,Town: Distant
BARTON CREEK EL,227909105,21,Suburb: Large
BARTON EL,57912101,12,City: Midsize
BARTON HILLS EL,227901103,11,City: Large
BARWISE MIDDLE,243905046,12,City: Midsize
BASIS SAN ANTONIO PRI- MEDICAL CENTER CAMPUS,15834101,11,City: Large
BASIS SAN ANTONIO- PRI NORTH CENTRAL CAMPUS,15834002,11,City: Large
BASIS SAN ANTONIO- SHAVANO CAMPUS,15834001,11,City: Large
BASKIN EL,15907105,11,City: Large
BASSETT MIDDLE,71902049,11,City: Large
BASSETTI EL,221901153,12,City: Midsize
BASSWOOD EL,220907126,11,City: Large
BASTIAN EL,101912108,11,City: Large
BASTROP COUNTY JUVENILE BOOT CAMP,11902003,41,Rural: Fringe
BASTROP H S,11901001,32,Town: Distant
BASTROP INT,11901104,32,Town: Distant
BASTROP MIDDLE,11901041,32,Town: Distant
BATESVILLE SCHOOL,232903108,43,Rural: Remote
BATY EL,227910108,11,City: Large
BAY CITY H S,158901001,41,Rural: Fringe
BAY CITY J H,158901041,32,Town: Distant
BAY COLONY EL,84901107,21,Suburb: Large
BAY EL,84910105,21,Suburb: Large
BAYLES EL,57905108,11,City: Large
BAYLESS EL,152901155,11,City: Large
BAYLOR COLLEGE OF MEDICINE ACADEMY AT RYAN,101912467,11,City: Large
BAYLOR COLLEGE OF MEDICINE BIOTECH ACADEMY AT RUSK,101912234,11,City: Large
BAYSHORE EL,101916104,21,Suburb: Large
BAYSIDE INT,84910050,21,Suburb: Large
BAYTOWN J H,101911041,13,City: Small
BEACON HILL ACADEMY,15907106,11,City: Large
